네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","경제/경영"
"2021-07-09",8
"2021-07-10",7
"2021-07-11",12
"2021-07-12",14
"2021-07-13",15
"2021-07-14",12
"2021-07-15",12
"2021-07-16",7
"2021-07-17",8
"2021-07-18",10
"2021-07-19",14
"2021-07-20",17
"2021-07-21",10
"2021-07-22",13
"2021-07-23",13
"2021-07-24",12
"2021-07-25",14
"2021-07-26",13
"2021-07-27",15
"2021-07-28",15
"2021-07-29",15
"2021-07-30",14
"2021-07-31",12
"2021-08-01",13
"2021-08-02",13
"2021-08-03",12
"2021-08-04",14
"2021-08-05",14
"2021-08-06",10
"2021-08-07",9
"2021-08-08",14
"2021-08-09",14
"2021-08-10",14
"2021-08-11",14
"2021-08-12",13
"2021-08-13",9
"2021-08-14",13
"2021-08-15",14
"2021-08-16",13
"2021-08-17",15
"2021-08-18",15
"2021-08-19",13
"2021-08-20",15
"2021-08-21",9
"2021-08-22",13
"2021-08-23",15
"2021-08-24",16
"2021-08-25",23
"2021-08-26",17
"2021-08-27",20
"2021-08-28",16
"2021-08-29",23
"2021-08-30",35
"2021-08-31",39
"2021-09-01",55
"2021-09-02",61
"2021-09-03",47
"2021-09-04",29
"2021-09-05",41
"2021-09-06",46
"2021-09-07",43
"2021-09-08",37
"2021-09-09",36
"2021-09-10",22
"2021-09-11",18
"2021-09-12",21
"2021-09-13",29
"2021-09-14",26
"2021-09-15",28
"2021-09-16",19
"2021-09-17",14
"2021-09-18",16
"2021-09-19",16
"2021-09-20",14
"2021-09-21",17
"2021-09-22",22
"2021-09-23",23
"2021-09-24",24
"2021-09-25",18
"2021-09-26",19
"2021-09-27",21
"2021-09-28",19
"2021-09-29",19
"2021-09-30",19
"2021-10-01",26
"2021-10-02",12
"2021-10-03",19
"2021-10-04",22
"2021-10-05",28
"2021-10-06",23
"2021-10-07",30
"2021-10-08",22
"2021-10-09",17
"2021-10-10",23
"2021-10-11",20
"2021-10-12",29
"2021-10-13",24
"2021-10-14",24
"2021-10-15",22
"2021-10-16",21
"2021-10-17",16
"2021-10-18",22
"2021-10-19",21
"2021-10-20",25
"2021-10-21",19
"2021-10-22",14
"2021-10-23",15
