네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 40대

"날짜","도서"
"2021-07-09",29
"2021-07-10",28
"2021-07-11",31
"2021-07-12",36
"2021-07-13",37
"2021-07-14",37
"2021-07-15",35
"2021-07-16",33
"2021-07-17",30
"2021-07-18",32
"2021-07-19",41
"2021-07-20",40
"2021-07-21",40
"2021-07-22",40
"2021-07-23",34
"2021-07-24",29
"2021-07-25",31
"2021-07-26",37
"2021-07-27",36
"2021-07-28",34
"2021-07-29",33
"2021-07-30",29
"2021-07-31",26
"2021-08-01",29
"2021-08-02",33
"2021-08-03",35
"2021-08-04",35
"2021-08-05",34
"2021-08-06",29
"2021-08-07",26
"2021-08-08",30
"2021-08-09",37
"2021-08-10",34
"2021-08-11",33
"2021-08-12",36
"2021-08-13",30
"2021-08-14",27
"2021-08-15",25
"2021-08-16",33
"2021-08-17",38
"2021-08-18",38
"2021-08-19",39
"2021-08-20",34
"2021-08-21",31
"2021-08-22",33
"2021-08-23",44
"2021-08-24",45
"2021-08-25",46
"2021-08-26",44
"2021-08-27",38
"2021-08-28",32
"2021-08-29",36
"2021-08-30",46
"2021-08-31",50
"2021-09-01",51
"2021-09-02",49
"2021-09-03",40
"2021-09-04",35
"2021-09-05",38
"2021-09-06",46
"2021-09-07",47
"2021-09-08",45
"2021-09-09",42
"2021-09-10",35
"2021-09-11",30
"2021-09-12",33
"2021-09-13",38
"2021-09-14",39
"2021-09-15",35
"2021-09-16",31
"2021-09-17",24
"2021-09-18",21
"2021-09-19",18
"2021-09-20",15
"2021-09-21",17
"2021-09-22",27
"2021-09-23",35
"2021-09-24",33
"2021-09-25",30
"2021-09-26",31
"2021-09-27",37
"2021-09-28",37
"2021-09-29",39
"2021-09-30",36
"2021-10-01",32
"2021-10-02",27
"2021-10-03",26
"2021-10-04",35
"2021-10-05",40
"2021-10-06",42
"2021-10-07",40
"2021-10-08",33
"2021-10-09",25
"2021-10-10",27
"2021-10-11",33
"2021-10-12",37
"2021-10-13",38
"2021-10-14",37
"2021-10-15",32
"2021-10-16",27
"2021-10-17",28
"2021-10-18",32
"2021-10-19",34
"2021-10-20",33
"2021-10-21",33
"2021-10-22",29
"2021-10-23",25
"2021-10-24",29
"2021-10-25",35
"2021-10-26",36
"2021-10-27",36
"2021-10-28",35
"2021-10-29",31
"2021-10-30",28
"2021-10-31",32
"2021-11-01",42
"2021-11-02",43
"2021-11-03",43
"2021-11-04",41
"2021-11-05",36
"2021-11-06",31
"2021-11-07",34
"2021-11-08",44
"2021-11-09",44
"2021-11-10",43
"2021-11-11",41
"2021-11-12",35
"2021-11-13",30
"2021-11-14",31
"2021-11-15",37
"2021-11-16",39
"2021-11-17",38
"2021-11-18",39
"2021-11-19",41
"2021-11-20",36
"2021-11-21",41
"2021-11-22",47
"2021-11-23",47
"2021-11-24",48
"2021-11-25",47
"2021-11-26",41
"2021-11-27",38
"2021-11-28",42
"2021-11-29",51
"2021-11-30",54
"2021-12-01",54
"2021-12-02",53
"2021-12-03",47
"2021-12-04",43
"2021-12-05",48
"2021-12-06",57
"2021-12-07",57
"2021-12-08",58
"2021-12-09",58
"2021-12-10",52
"2021-12-11",49
"2021-12-12",55
"2021-12-13",62
"2021-12-14",65
"2021-12-15",66
"2021-12-16",66
"2021-12-17",58
"2021-12-18",54
"2021-12-19",60
"2021-12-20",72
"2021-12-21",72
"2021-12-22",70
"2021-12-23",68
"2021-12-24",50
"2021-12-25",43
"2021-12-26",59
"2021-12-27",76
"2021-12-28",77
"2021-12-29",79
"2021-12-30",73
"2021-12-31",58
"2022-01-01",57
"2022-01-02",78
"2022-01-03",100
"2022-01-04",98
"2022-01-05",95
"2022-01-06",85
"2022-01-07",74
"2022-01-08",64
"2022-01-09",72
"2022-01-10",86
"2022-01-11",82
"2022-01-12",80
"2022-01-13",76
"2022-01-14",65
"2022-01-15",55
"2022-01-16",60
"2022-01-17",71
"2022-01-18",69
"2022-01-19",66
"2022-01-20",65
"2022-01-21",56
"2022-01-22",49
"2022-01-23",54
"2022-01-24",63
"2022-01-25",62
"2022-01-26",59
"2022-01-27",54
"2022-01-28",46
"2022-01-29",40
"2022-01-30",35
"2022-01-31",31
"2022-02-01",31
"2022-02-02",50
"2022-02-03",67
"2022-02-04",63
"2022-02-05",61
"2022-02-06",63
"2022-02-07",69
"2022-02-08",66
"2022-02-09",64
"2022-02-10",61
"2022-02-11",55
"2022-02-12",51
"2022-02-13",56
"2022-02-14",63
"2022-02-15",64
"2022-02-16",63
"2022-02-17",60
"2022-02-18",55
"2022-02-19",53
"2022-02-20",57
"2022-02-21",66
"2022-02-22",67
"2022-02-23",67
"2022-02-24",65
"2022-02-25",58
"2022-02-26",55
"2022-02-27",55
"2022-02-28",62
"2022-03-01",67
"2022-03-02",72
"2022-03-03",80
"2022-03-04",72
"2022-03-05",65
"2022-03-06",68
"2022-03-07",78
"2022-03-08",70
"2022-03-09",61
